/home/ubu/Desktop/Assessment/defect_classification_stack/train_optimizer_comparison.py:168: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  epoch_loss += float(loss) * len(batch_idx)
Loading images and extracting HOG features...
HOG dims: 8100  -> PCA dims: 20  (MLP params: ~1217)

============================================================
  Optimiser: nelder_mead  (zero-order  | Nelder-Mead (derivative-free))
============================================================
  [Nelder-Mead] iter   50  train=0.9067  val=0.8740
  [Nelder-Mead] iter  100  train=0.9067  val=0.8740
  [Nelder-Mead] iter  150  train=0.9067  val=0.8740
  [Nelder-Mead] iter  200  train=0.9067  val=0.8740
  [Nelder-Mead] iter  250  train=0.9067  val=0.8740
  [Nelder-Mead] iter  300  train=0.9067  val=0.8740
  [Nelder-Mead] iter  350  train=0.9067  val=0.8740
  [Nelder-Mead] iter  400  train=0.9067  val=0.8740
  [Nelder-Mead] iter  450  train=0.9067  val=0.8740
  [Nelder-Mead] iter  500  train=0.9067  val=0.8740
  [Nelder-Mead] iter  550  train=0.9067  val=0.8740
  [Nelder-Mead] iter  600  train=0.9067  val=0.8740
  [Nelder-Mead] iter  650  train=0.9067  val=0.8740
  [Nelder-Mead] iter  700  train=0.9067  val=0.8740
  [Nelder-Mead] iter  750  train=0.9067  val=0.8740

============================================================
  Optimiser: sgd  (first-order | SGD (mini-batch gradient descent))
============================================================
  [SGD] Epoch 001  train=0.7614  val=0.7739
  [SGD] Epoch 002  train=0.6711  val=0.6939
  [SGD] Epoch 003  train=0.6321  val=0.7151
  [SGD] Epoch 004  train=0.6020  val=0.7042
  [SGD] Epoch 005  train=0.5536  val=0.7936
  [SGD] Epoch 006  train=0.5207  val=0.6233
  [SGD] Epoch 007  train=0.5042  val=0.6350
  [SGD] Epoch 008  train=0.5133  val=0.6659
  [SGD] Epoch 009  train=0.4895  val=0.5493
  [SGD] Epoch 010  train=0.4423  val=0.5009
  [SGD] Epoch 011  train=0.4148  val=0.4849
  [SGD] Epoch 012  train=0.5161  val=0.5864
  [SGD] Epoch 013  train=0.5475  val=0.6118
  [SGD] Epoch 014  train=0.5572  val=0.6379
  [SGD] Epoch 015  train=0.5335  val=0.4930
  [SGD] Epoch 016  train=0.4632  val=0.6975
  [SGD] Epoch 017  train=0.4064  val=0.6152
  [SGD] Epoch 018  train=0.4245  val=0.4710
  [SGD] Epoch 019  train=0.4220  val=0.6205
  [SGD] Epoch 020  train=0.5406  val=0.5007
  [SGD] Epoch 021  train=0.4335  val=0.4783
  [SGD] Epoch 022  train=0.4640  val=0.5336
  [SGD] Epoch 023  train=0.4196  val=0.5308
  [SGD] Epoch 024  train=0.4202  val=0.5027
  [SGD] Epoch 025  train=0.3995  val=0.4876
  [SGD] Epoch 026  train=0.3249  val=0.5170
