hidden_sizes,activation,dropout,lr,best_val_loss
"(256,)",elu,0.4,0.001,0.11982347060372864
"(128,)",gelu,0.0,0.0003,0.13971038419159426
"(128,)",elu,0.2,0.0003,0.14316238125489242
"(256,)",relu,0.0,0.0001,0.1666378053850022
"(256,)",relu,0.4,0.0001,0.16973110947056094
"(256,)",gelu,0.4,0.0003,0.17262109039702278
"(256,)",selu,0.0,0.001,0.1763179077618364
"(256, 128)",elu,0.4,0.0001,0.20910778792871945
"(256,)",gelu,0.4,0.0001,0.22478482526713522
"(128,)",elu,0.4,0.0001,0.22685147087643112
"(128,)",selu,0.2,0.0001,0.25235873881889426
"(128, 64, 32)",gelu,0.4,0.0003,0.35860495139723236
