epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.01431,0.67578,0.63768,1,0.49805,0.00025005,0.00025005,0.00025005
2,2.34853,0.42845,0.82609,1,0.51575,0.000499717,0.000499717,0.000499717
3,2.65045,0.38409,0.95652,1,0.12781,0.00073178,0.00073178,0.00073178
4,2.94647,0.31559,0.97101,1,0.07632,0.000946239,0.000946239,0.000946239
5,3.23933,0.30413,0.50725,1,1.27063,0.0011431,0.0011431,0.0011431
6,3.52687,0.40292,0.88406,1,0.18351,0.00132235,0.00132235,0.00132235
7,3.83895,0.42506,0.95652,1,0.11331,0.00133693,0.00133693,0.00133693
8,4.14586,0.26596,0.95652,1,0.10072,0.00128192,0.00128192,0.00128192
9,4.41348,0.28284,0.95652,1,0.08912,0.00122691,0.00122691,0.00122691
10,4.67066,0.26354,0.95652,1,0.06386,0.0011719,0.0011719,0.0011719
11,4.94767,0.34534,0.97101,1,0.05471,0.00111689,0.00111689,0.00111689
12,5.31769,0.34845,1,1,0.03967,0.00106188,0.00106188,0.00106188
13,5.64445,0.33112,0.97101,1,0.05156,0.00100687,0.00100687,0.00100687
14,5.94526,0.21491,0.98551,1,0.03535,0.000951857,0.000951857,0.000951857
15,6.24846,0.14407,0.98551,1,0.02274,0.000896846,0.000896846,0.000896846
16,6.50781,0.21719,0.86957,1,0.20648,0.000841835,0.000841835,0.000841835
17,6.76092,0.18207,0.97101,1,0.04333,0.000786824,0.000786824,0.000786824
18,7.03328,0.20538,0.95652,1,0.12607,0.000731813,0.000731813,0.000731813
19,7.32685,0.22841,0.98551,1,0.03135,0.000676802,0.000676802,0.000676802
20,7.59726,0.16536,0.98551,1,0.05972,0.000621791,0.000621791,0.000621791
21,8.33572,0.12999,0.97101,1,0.04082,0.00056678,0.00056678,0.00056678
22,8.64698,0.13786,0.98551,1,0.02565,0.000511769,0.000511769,0.000511769
23,8.88935,0.20082,1,1,0.01569,0.000456758,0.000456758,0.000456758
24,9.18601,0.10935,1,1,0.01598,0.000401747,0.000401747,0.000401747
25,9.46067,0.11157,1,1,0.06758,0.000346736,0.000346736,0.000346736
26,9.75463,0.12943,0.98551,1,0.03006,0.000291725,0.000291725,0.000291725
27,10.0558,0.09237,0.98551,1,0.02454,0.000236714,0.000236714,0.000236714
28,10.369,0.09746,0.98551,1,0.02128,0.000181703,0.000181703,0.000181703
29,10.6623,0.09859,0.98551,1,0.01291,0.000126692,0.000126692,0.000126692
30,10.9496,0.09518,0.98551,1,0.01558,7.1681e-05,7.1681e-05,7.1681e-05
