hidden_sizes,activation,dropout,lr,best_val_loss
"(128, 64)",gelu,0.2,0.001,0.08443888314608214
"(256, 128)",gelu,0.0,0.0003,0.08613697764720174
"(128,)",gelu,0.4,0.0003,0.08903093851994777
"(256,)",gelu,0.4,0.0003,0.09107993089634439
"(128, 64, 32)",elu,0.4,0.0003,0.09528483783799237
"(128,)",gelu,0.0,0.0003,0.09581522779215289
"(128,)",elu,0.2,0.0003,0.09672359288062739
"(256,)",relu,0.0,0.0001,0.10136149443038132
"(128,)",relu,0.0,0.001,0.10191014263967889
"(256, 128)",elu,0.0,0.0003,0.10766989532588185
"(128, 64)",gelu,0.2,0.0003,0.10855930730484534
"(256, 128)",elu,0.4,0.0001,0.11470955116269381
"(128, 64, 32)",selu,0.2,0.0001,0.11685515091201101
"(128, 64, 32)",relu,0.2,0.001,0.1312156319078328
"(256,)",selu,0.0,0.001,0.1315161880456667
"(256,)",gelu,0.4,0.0001,0.14629929345371068
"(128, 64, 32)",gelu,0.4,0.0003,0.14936935793662418
"(256,)",relu,0.4,0.0001,0.15329111934356068
"(256,)",selu,0.2,0.0001,0.15573631447024536
"(256, 128)",elu,0.0,0.001,0.1763161259089205
"(128,)",selu,0.2,0.0001,0.1809966603051061
"(128,)",elu,0.4,0.0001,0.20494070379198462
"(256,)",elu,0.4,0.001,0.21726680338463705
"(128, 64, 32)",gelu,0.4,0.001,0.6683029575624327
