epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.09672,0.71424,0.52174,1,0.70654,0.00011669,0.00011669,0.00011669
2,3.38802,0.59652,0.57971,1,0.70312,0.000245099,0.000245099,0.000245099
3,3.7359,0.43458,0.76812,1,0.44263,0.000368227,0.000368227,0.000368227
4,4.04544,0.33166,0.91304,1,0.12708,0.000486074,0.000486074,0.000486074
5,4.38145,0.2372,0.88406,1,0.18286,0.00059864,0.00059864,0.00059864
6,4.68469,0.22499,0.89855,1,0.22778,0.000705924,0.000705924,0.000705924
7,4.96467,0.3155,0.92754,1,0.13013,0.000807928,0.000807928,0.000807928
8,5.24015,0.26381,1,1,0.05298,0.000904651,0.000904651,0.000904651
9,5.54752,0.23343,0.69565,1,0.51904,0.000996093,0.000996093,0.000996093
10,5.82076,0.19061,0.56522,1,0.9209,0.00108225,0.00108225,0.00108225
11,6.07754,0.19483,0.89855,1,0.1897,0.00116313,0.00116313,0.00116313
12,6.39617,0.2052,0.92754,1,0.15515,0.00123873,0.00123873,0.00123873
13,6.81994,0.20937,0.91304,1,0.27808,0.00127092,0.00127092,0.00127092
14,7.10828,0.18262,0.94203,1,0.14307,0.00123791,0.00123791,0.00123791
15,7.39903,0.17841,0.84058,1,0.44751,0.00120491,0.00120491,0.00120491
16,7.73417,0.13322,1,1,0.0415,0.0011719,0.0011719,0.0011719
17,8.03642,0.13614,0.98551,1,0.06592,0.00113889,0.00113889,0.00113889
18,8.38955,0.15622,0.68116,1,0.54932,0.00110589,0.00110589,0.00110589
19,8.72575,0.14535,1,1,0.10748,0.00107288,0.00107288,0.00107288
20,9.0551,0.18265,1,1,0.05432,0.00103987,0.00103987,0.00103987
21,9.33871,0.13789,1,1,0.03311,0.00100687,0.00100687,0.00100687
22,9.65248,0.12012,0.94203,1,0.17529,0.000973861,0.000973861,0.000973861
23,9.90354,0.12798,0.92754,1,0.2251,0.000940855,0.000940855,0.000940855
24,10.162,0.09443,1,1,0.05615,0.000907848,0.000907848,0.000907848
25,10.4818,0.10231,1,1,0.01308,0.000874842,0.000874842,0.000874842
26,10.8216,0.08191,1,1,0.01111,0.000841835,0.000841835,0.000841835
27,11.0923,0.08765,1,1,0.01863,0.000808828,0.000808828,0.000808828
28,11.3923,0.09447,0.95652,1,0.08887,0.000775822,0.000775822,0.000775822
29,11.7452,0.08156,0.92754,1,0.14465,0.000742815,0.000742815,0.000742815
30,12.0026,0.08285,1,1,0.02606,0.000709809,0.000709809,0.000709809
31,12.3191,0.09289,0.97101,1,0.06989,0.000676802,0.000676802,0.000676802
32,12.5801,0.05405,1,1,0.01845,0.000643795,0.000643795,0.000643795
33,12.856,0.07379,1,1,0.03149,0.000610789,0.000610789,0.000610789
34,13.1724,0.06652,0.97101,1,0.08527,0.000577782,0.000577782,0.000577782
35,13.4634,0.05751,0.97101,1,0.04535,0.000544776,0.000544776,0.000544776
36,13.7896,0.07849,0.97101,1,0.04742,0.000511769,0.000511769,0.000511769
37,14.1136,0.09039,0.98551,1,0.02652,0.000478762,0.000478762,0.000478762
38,14.4489,0.06479,1,1,0.01349,0.000445756,0.000445756,0.000445756
39,14.7604,0.05322,1,1,0.01279,0.000412749,0.000412749,0.000412749
40,15.0458,0.06244,1,1,0.01247,0.000379743,0.000379743,0.000379743
41,16.0282,0.06988,1,1,0.01498,0.000346736,0.000346736,0.000346736
42,16.4526,0.05734,1,1,0.01336,0.000313729,0.000313729,0.000313729
43,16.766,0.04542,1,1,0.01412,0.000280723,0.000280723,0.000280723
44,17.0283,0.05205,1,1,0.01234,0.000247716,0.000247716,0.000247716
45,17.2866,0.05724,1,1,0.0119,0.00021471,0.00021471,0.00021471
46,17.6005,0.08059,1,1,0.01291,0.000181703,0.000181703,0.000181703
47,18.0317,0.06205,1,1,0.01119,0.000148696,0.000148696,0.000148696
48,18.4687,0.03793,1,1,0.01227,0.00011569,0.00011569,0.00011569
49,18.7563,0.05684,1,1,0.01261,8.26832e-05,8.26832e-05,8.26832e-05
50,19.0442,0.0456,1,1,0.01218,4.96766e-05,4.96766e-05,4.96766e-05
