epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.60059,0.68645,0.5942,1,0.64209,0.00011669,0.00011669,0.00011669
2,5.18258,0.55171,0.72464,1,0.49414,0.000245099,0.000245099,0.000245099
3,5.62454,0.35635,0.92754,1,0.15344,0.000368227,0.000368227,0.000368227
4,6.17852,0.23026,0.98551,1,0.02455,0.000486074,0.000486074,0.000486074
5,6.72197,0.14764,0.91304,1,0.14441,0.00059864,0.00059864,0.00059864
6,7.22869,0.18302,0.94203,1,0.13123,0.000705924,0.000705924,0.000705924
7,7.69779,0.17932,0.98551,1,0.09216,0.000807928,0.000807928,0.000807928
8,8.28737,0.19184,0.98551,1,0.07788,0.000904651,0.000904651,0.000904651
9,8.79044,0.16951,0.98551,1,0.13574,0.000996093,0.000996093,0.000996093
10,9.39606,0.11594,0.97101,1,0.08899,0.00108225,0.00108225,0.00108225
11,9.89277,0.19426,0.75362,1,0.55322,0.00116313,0.00116313,0.00116313
12,10.3726,0.1449,1,1,0.07257,0.00123873,0.00123873,0.00123873
13,10.9205,0.21222,0.95652,1,0.12134,0.00127092,0.00127092,0.00127092
14,11.3461,0.18144,0.98551,1,0.0322,0.00123791,0.00123791,0.00123791
15,11.9228,0.12022,1,1,0.01401,0.00120491,0.00120491,0.00120491
16,12.4629,0.13586,0.98551,1,0.0545,0.0011719,0.0011719,0.0011719
17,12.8499,0.16094,0.95652,1,0.11456,0.00113889,0.00113889,0.00113889
18,13.2977,0.15594,0.94203,1,0.16125,0.00110589,0.00110589,0.00110589
19,13.9305,0.13557,1,1,0.01538,0.00107288,0.00107288,0.00107288
20,14.37,0.15908,0.95652,1,0.14294,0.00103987,0.00103987,0.00103987
21,14.8219,0.09453,0.97101,1,0.06012,0.00100687,0.00100687,0.00100687
22,15.3305,0.10466,0.95652,1,0.07721,0.000973861,0.000973861,0.000973861
23,15.8634,0.10757,1,1,0.02954,0.000940855,0.000940855,0.000940855
24,16.3654,0.09059,0.98551,1,0.03009,0.000907848,0.000907848,0.000907848
25,16.9005,0.08136,0.98551,1,0.0296,0.000874842,0.000874842,0.000874842
26,17.3783,0.07991,0.97101,1,0.07263,0.000841835,0.000841835,0.000841835
27,17.8557,0.06219,1,1,0.02316,0.000808828,0.000808828,0.000808828
28,18.2991,0.07352,1,1,0.02412,0.000775822,0.000775822,0.000775822
29,18.7494,0.06536,1,1,0.02193,0.000742815,0.000742815,0.000742815
30,19.3016,0.08175,0.97101,1,0.04086,0.000709809,0.000709809,0.000709809
31,19.728,0.07503,1,1,0.02122,0.000676802,0.000676802,0.000676802
32,20.193,0.05711,1,1,0.02512,0.000643795,0.000643795,0.000643795
33,20.6482,0.06544,1,1,0.02785,0.000610789,0.000610789,0.000610789
34,21.2129,0.04643,1,1,0.02356,0.000577782,0.000577782,0.000577782
35,21.739,0.03561,1,1,0.0162,0.000544776,0.000544776,0.000544776
36,22.2922,0.06378,1,1,0.01306,0.000511769,0.000511769,0.000511769
37,22.699,0.08466,1,1,0.02689,0.000478762,0.000478762,0.000478762
38,23.2219,0.04888,1,1,0.02864,0.000445756,0.000445756,0.000445756
39,23.7506,0.05316,1,1,0.02434,0.000412749,0.000412749,0.000412749
40,24.2438,0.04961,1,1,0.02696,0.000379743,0.000379743,0.000379743
41,25.5273,0.06294,1,1,0.02921,0.000346736,0.000346736,0.000346736
42,26.1466,0.06246,1,1,0.02502,0.000313729,0.000313729,0.000313729
43,26.7065,0.0389,1,1,0.02493,0.000280723,0.000280723,0.000280723
44,27.186,0.06217,1,1,0.0218,0.000247716,0.000247716,0.000247716
45,27.6178,0.05315,1,1,0.02002,0.00021471,0.00021471,0.00021471
46,28.2089,0.0448,1,1,0.02078,0.000181703,0.000181703,0.000181703
47,28.8504,0.05542,1,1,0.02139,0.000148696,0.000148696,0.000148696
48,29.4386,0.04077,1,1,0.02232,0.00011569,0.00011569,0.00011569
49,29.9902,0.04349,1,1,0.02266,8.26832e-05,8.26832e-05,8.26832e-05
50,30.5167,0.03045,1,1,0.02147,4.96766e-05,4.96766e-05,4.96766e-05
