model_name,accuracy,precision,recall,f1,category,top1_acc,fitness
mobilenet_gelu,0.9710144927536232,1.0,0.9420289855072463,0.9701492537313433,MobileNetV2 (fine-tuned),,
mobilenet_relu,0.9637681159420289,1.0,0.927536231884058,0.9624060150375939,MobileNetV2 (fine-tuned),,
mobilenet_leaky_relu,0.9565217391304348,1.0,0.9130434782608695,0.9545454545454545,MobileNetV2 (fine-tuned),,
mlp_random_search,0.9492753623188406,1.0,0.8985507246376812,0.9465648854961832,MLP HParam Search,,
mobilenet_selu,0.9420289855072463,1.0,0.8840579710144928,0.9384615384615386,MobileNetV2 (fine-tuned),,
mobilenet_relu,0.9347826086956522,0.9838709677419355,0.8840579710144928,0.9312977099236642,MobileNetV2 (frozen),,
mobilenet_leaky_relu,0.927536231884058,0.9836065573770492,0.8695652173913043,0.923076923076923,MobileNetV2 (frozen),,
mobilenet_gelu,0.9202898550724637,0.967741935483871,0.8695652173913043,0.9160305343511451,MobileNetV2 (frozen),,
mobilenet_elu,0.9130434782608695,1.0,0.8260869565217391,0.9047619047619047,MobileNetV2 (fine-tuned),,
mobilenet_selu,0.8768115942028986,0.9333333333333333,0.8115942028985508,0.8682170542635659,MobileNetV2 (frozen),,
mobilenet_elu,0.8623188405797102,0.9464285714285714,0.7681159420289855,0.848,MobileNetV2 (frozen),,
optim_adam,0.8405797101449275,0.8133333333333334,0.8840579710144928,0.8472222222222223,Optimiser Comparison,,
hog_svm,0.8478260869565217,0.9137931034482759,0.7681159420289855,0.8346456692913385,Sklearn Baseline,,
hog_mlp,0.8405797101449275,0.9272727272727272,0.7391304347826086,0.8225806451612904,Sklearn Baseline,,
optim_lbfgs,0.782608695652174,0.8095238095238095,0.7391304347826086,0.7727272727272727,Optimiser Comparison,,
optim_sgd,0.7463768115942029,0.7236842105263158,0.7971014492753623,0.7586206896551724,Optimiser Comparison,,
cnn_selu,0.6304347826086957,0.575,1.0,0.7301587301587301,CNN Scratch,,
cnn_gelu,0.6231884057971014,0.5702479338842975,1.0,0.7263157894736841,CNN Scratch,,
cnn_elu,0.5362318840579711,0.518796992481203,1.0,0.6831683168316832,CNN Scratch,,
cnn_leaky_relu,0.5289855072463768,0.5149253731343284,1.0,0.6798029556650247,CNN Scratch,,
optim_nelder_mead,0.4855072463768116,0.4915254237288136,0.8405797101449275,0.6203208556149732,Optimiser Comparison,,
cnn_relu,0.5072463768115942,0.5128205128205128,0.2898550724637681,0.37037037037037035,CNN Scratch,,
yolo26n-cls.pt,1.0,,,,YOLO (pretrained),1.0,1.0
yolo26s-cls.pt,1.0,,,,YOLO (pretrained),1.0,1.0
